99500,4,*2 *2 1 1 1 1 1 1,3.191557,3.149683,2.048238e-04
100000,4,*2 *2 1 1 1 1 1 1,3.195359,3.150267,1.730229e-04
100500,4,*2 *2 1 1 1 1 1 1,3.184512,3.138978,1.435383e-04
101000,4,*2 *2 1 1 1 1 1 1,3.173267,3.138293,1.165756e-04
101500,4,*2 *2 1 1 1 1 1 1,3.173811,3.132308,9.232293e-05
102000,4,*2 *2 1 1 1 1 1 1,3.168908,3.124863,7.094954e-05
102500,4,*2 *2 1 1 1 1 1 1,3.159368,3.113262,5.260455e-05
103000,4,*2 *2 1 1 1 1 1 1,3.142753,3.113908,3.741594e-05
103500,4,*2 *2 1 1 1 1 1 1,3.158865,3.117687,2.548968e-05
104000,4,*2 *2 1 1 1 1 1 1,3.142064,3.114202,1.690899e-05
104500,4,*2 *2 1 1 1 1 1 1,3.147192,3.105851,1.173373e-05
104999,4,*2 *2 1 1 1 1 1 1,3.146569,3.097775,1.000003e-05
105000,5,*2 1 1 1 1 1 1 1 1,3.163331,3.128770,1.000000e-03
105500,5,*2 1 1 1 1 1 1 1 1,3.212901,3.170420,4.166667e-04
106000,5,*2 1 1 1 1 1 1 1 1,3.308333,3.263078,8.333333e-04
106500,5,*2 1 1 1 1 1 1 1 1,3.370427,3.317116,9.993823e-04
107000,5,*2 1 1 1 1 1 1 1 1,3.361929,3.320444,9.955944e-04
107500,5,*2 1 1 1 1 1 1 1 1,3.363337,3.326419,9.883836e-04
108000,5,*2 1 1 1 1 1 1 1 1,3.359453,3.314894,9.778002e-04
108500,5,*2 1 1 1 1 1 1 1 1,3.351112,3.311655,9.639181e-04
109000,5,*2 1 1 1 1 1 1 1 1,3.352276,3.300819,9.468341e-04
109500,5,*2 1 1 1 1 1 1 1 1,3.343446,3.296240,9.266674e-04
110000,5,*2 1 1 1 1 1 1 1 1,3.337597,3.289149,9.035587e-04
110500,5,*2 1 1 1 1 1 1 1 1,3.332690,3.274657,8.776693e-04
111000,5,*2 1 1 1 1 1 1 1 1,3.324907,3.274419,8.491797e-04
111500,5,*2 1 1 1 1 1 1 1 1,3.319565,3.278612,8.182888e-04
112000,5,*2 1 1 1 1 1 1 1 1,3.304009,3.268280,7.852120e-04
112500,5,*2 1 1 1 1 1 1 1 1,3.313245,3.250059,7.501802e-04
113000,5,*2 1 1 1 1 1 1 1 1,3.302234,3.246702,7.134377e-04
113500,5,*2 1 1 1 1 1 1 1 1,3.288617,3.234498,6.752410e-04
114000,5,*2 1 1 1 1 1 1 1 1,3.281648,3.239369,6.358565e-04
114500,5,*2 1 1 1 1 1 1 1 1,3.264642,3.226242,5.955590e-04
115000,5,*2 1 1 1 1 1 1 1 1,3.266971,3.210957,5.546297e-04
115500,5,*2 1 1 1 1 1 1 1 1,3.242764,3.203795,5.133541e-04
116000,5,*2 1 1 1 1 1 1 1 1,3.243504,3.196087,4.720202e-04
116500,5,*2 1 1 1 1 1 1 1 1,3.223122,3.178188,4.309164e-04
117000,5,*2 1 1 1 1 1 1 1 1,3.219023,3.184091,3.903295e-04
117500,5,*2 1 1 1 1 1 1 1 1,3.220579,3.175029,3.505427e-04
118000,5,*2 1 1 1 1 1 1 1 1,3.207392,3.162401,3.118335e-04
118500,5,*2 1 1 1 1 1 1 1 1,3.194573,3.152156,2.744720e-04
119000,5,*2 1 1 1 1 1 1 1 1,3.178437,3.136614,2.387190e-04
119500,5,*2 1 1 1 1 1 1 1 1,3.175110,3.145040,2.048238e-04
120000,5,*2 1 1 1 1 1 1 1 1,3.170330,3.120142,1.730229e-04
120500,5,*2 1 1 1 1 1 1 1 1,3.160511,3.116369,1.435383e-04
121000,5,*2 1 1 1 1 1 1 1 1,3.148885,3.107234,1.165756e-04
121500,5,*2 1 1 1 1 1 1 1 1,3.151045,3.099146,9.232293e-05
122000,5,*2 1 1 1 1 1 1 1 1,3.153185,3.103703,7.094954e-05
122500,5,*2 1 1 1 1 1 1 1 1,3.138411,3.097980,5.260455e-05
123000,5,*2 1 1 1 1 1 1 1 1,3.134370,3.097006,3.741594e-05
123500,5,*2 1 1 1 1 1 1 1 1,3.135056,3.085408,2.548968e-05
124000,5,*2 1 1 1 1 1 1 1 1,3.134454,3.088559,1.690899e-05
124500,5,*2 1 1 1 1 1 1 1 1,3.137489,3.094654,1.173373e-05
124999,5,*2 1 1 1 1 1 1 1 1,3.131407,3.087990,1.000003e-05
125000,6,1 1 1 1 1 1 1 1 1 1,4.384866,4.395807,1.000000e-03
125500,6,1 1 1 1 1 1 1 1 1 1,3.189424,3.144096,4.166667e-04
126000,6,1 1 1 1 1 1 1 1 1 1,3.296818,3.251444,8.333333e-04
126500,6,1 1 1 1 1 1 1 1 1 1,3.354545,3.298752,9.996145e-04
127000,6,1 1 1 1 1 1 1 1 1 1,3.391688,3.354116,9.972495e-04
127500,6,1 1 1 1 1 1 1 1 1 1,3.343955,3.301986,9.927410e-04
128000,6,1 1 1 1 1 1 1 1 1 1,3.363723,3.292012,9.861087e-04
128500,6,1 1 1 1 1 1 1 1 1 1,3.348980,3.299808,9.773815e-04
129000,6,1 1 1 1 1 1 1 1 1 1,3.346770,3.291332,9.665974e-04
129500,6,1 1 1 1 1 1 1 1 1 1,3.326481,3.284608,9.538032e-04
130000,6,1 1 1 1 1 1 1 1 1 1,3.322743,3.279714,9.390548e-04
130500,6,1 1 1 1 1 1 1 1 1 1,3.328681,3.280466,9.224163e-04
